x,y
9.241135856840537599e+02,-6.029480288844865754e+01
-1.400665631971546645e+03,-7.133655946129333643e+02
-1.354646096146802620e+03,2.295622380337349568e+02
-1.190919211317707322e+03,-2.341348036172209959e+02
-7.204138045068332303e+02,-1.254781256748059377e+03
-6.771068564545928439e+02,1.176945010438310419e+03
-5.785721684491636552e+02,-9.873816093060054300e+01
1.962787873835263781e+02,-1.994562897169475946e+01
-2.112545038726379971e+02,-1.207545981448653038e+03
1.041048652114083325e+03,-6.826650438770652727e+02
3.700603330505668964e+02,-7.796185425382843732e+02
4.250720711384392416e+02,4.505432848949335494e+02
-6.969837447430900284e+02,-4.141146507898115487e+02
-1.363374960011069561e+03,1.074286973907765059e+02
4.768529492183038201e+02,-7.010351887944088958e+02
-1.909479562075352987e+02,-1.038406869788967015e+03
4.417075180907645517e+02,-5.602207214989982731e+02
4.588436895963986899e+02,-1.338426582937697731e+03
-1.023021345086513406e+03,1.105045183060583440e+02
-8.782250904566838017e+02,-4.499798430489593102e+02
-1.080494685927207684e+03,-9.626926949194853478e+01
-1.461321905406840870e+03,-8.244126698639079223e+02
8.083104112027044721e+02,1.151038981420407708e+03
-1.087920139183356696e+03,3.239846816414792556e+02
-6.834504087194450221e+02,-4.321399809936406200e+01
9.811913175450099516e+02,-1.087817981229442921e+03
-6.831785256267885416e+02,-6.606810752665980999e+02
-1.088210710149878651e+03,-1.397483198156472099e+03
-1.200478383795737500e+03,-1.144797977572579384e+03
7.176771240182033580e+02,-2.925893579535052140e+02
7.080633170959281415e+02,-1.460878005001925430e+02
-6.738864621443906344e+02,1.031462772645093537e+03
-5.595193352177830093e+01,-8.697940198749752199e+02
2.216292184506332887e+02,-7.994426623964170631e+02
5.577661141371258964e+02,-6.773231305639228594e+02
3.365443743184687264e+02,-1.101137638065847568e+03
8.921144221057788855e+02,-1.207181527047981490e+03
5.307233997535054186e+02,-6.456989962484585703e+02
-4.616663453979788301e+02,-1.041473520495123921e+03
-4.680788348078847321e+02,-3.242730813956684415e+02
3.242938766564543585e+02,-7.047921505981469181e+02
1.131557561648382489e+03,1.209618569884132739e+02
-1.359942337083688471e+03,-2.361448517133119367e+02
-7.962318172664136000e+02,-8.904786196071229369e+02
7.923927771320427382e+02,1.556270697345007648e+02
1.059535456086934119e+03,5.105420472469950255e+01
8.632816834179616308e+02,-7.697690410156001235e+02
6.516291101070996774e+02,-9.276222070787371194e+02
-9.988111300075437384e+02,-2.937905531446328951e+02
-3.630230810327580002e+02,-1.189272109435742095e+03
-1.071514757434775674e+03,-1.057938658498773293e+03
-4.306553696790983849e+02,-1.689592175044841269e+03
1.032063054835565254e+03,-2.148201105156954327e+01
9.654917783245768987e+02,-3.651771305259298970e+02
1.024855417994803702e+03,-2.383729702528823964e+02
-1.044565132605197959e+03,-4.946302372316972651e+01
-1.013779084890469107e+03,-6.753898719760045424e+02
-1.294002491343047041e+03,-5.068607168721994185e+02
-2.980977436158350429e+02,-1.185812925903538826e+03
-1.161347102279897399e+03,-1.219429479117706933e+03
-1.553973403017913824e+03,-3.529416466650891380e+02
1.114452705728313958e+03,-6.642588211788686294e+02
-1.801484317352833386e+02,-5.522947265265022452e+02
9.218945561727209679e+02,-8.913937320089871719e+01
-1.500141456975046367e+03,-4.330724131335657603e+02
1.167891778730859187e+01,-5.401663170626200099e+02
-1.067442400169434222e+02,-5.289657845979345439e+02
1.212379438133211806e+02,-9.189083506676245179e+02
-9.302598294248969069e+02,-1.434749691214535687e+03
7.816009458632152018e+01,-7.176521736861691352e+02
-8.269789368137394376e+02,-1.106953729705451678e+03
5.177477905825521702e+02,-7.424878827846716831e+02
-1.116304035020830042e+03,1.972752263855009005e+02
-8.093939657162557069e+02,-9.914335977846003516e+02
-7.934667065585640557e+02,-1.345373268528551307e+03
-3.023474435486252787e+02,-9.037134316369574663e+02
4.471828289742561537e+02,-9.035987213131425051e+02
8.225787098376340509e+02,-3.783056754515894227e+02
-9.650525407236848423e+02,-5.410679244598263722e+02
8.112323026080489399e+02,-2.389185825210142866e+01
7.319387980002052245e+02,-3.656992794702975971e+02
-7.208106328846301949e+02,-7.573729452982665862e+02
-1.204793721395564489e+03,6.106309719554701587e+01
8.390772290740824246e+02,-1.130097505348583127e+03
5.269133862681351275e+02,-1.487326583315655625e+03
-8.055054148256469944e+02,-1.283099250217464942e+03
7.540431610632422235e+02,-1.912802632110008290e+02
1.280747172970068277e+02,-6.815469495265544992e+02
2.679260074227800033e+02,-1.137524131433641060e+03
-7.570255617468105811e+02,-6.339258987843013529e+02
-1.750329699209423779e+02,-1.154954153090242471e+03
1.099345126209527280e+03,-2.694683722628913074e+02
-1.022819675893684916e+03,-6.852157299726202382e+02
1.354792787381979906e+02,-7.850864096656989659e+02
-8.313892752006408955e+02,-9.217252219422716735e+02
1.053817942570370178e+03,-4.397454861917547078e+02
-1.076078334459874213e+03,-8.206339948214122160e+02
9.774481701803051692e+01,-1.260177087727370690e+03
-1.223372914208269776e+03,-1.218101768960691516e+03
-7.883709649535023800e+02,9.041987703918007355e+02
-1.023452364962164438e+03,4.228730310777214072e+02
1.132111911089644309e+03,-2.719526181025062215e+02
-2.864993096814330329e+02,-9.465826240090368628e+02
-7.611021891288330607e+02,1.031435248055560351e+03
7.293080713225763247e+02,-5.773368823767918911e+01
9.958323325937462869e+02,-2.131980963096755204e+02
2.996994583859741397e+02,-6.822068035440195217e+02
-2.472579347182158926e+01,-9.463304803077478482e+02
4.206122403310373556e+02,-1.281899436145502023e+03
7.655952761800185726e+02,3.747927244353631977e+02
3.531966529302812887e+02,-6.736199722957458107e+02
7.757810752314358069e+02,-1.048701701088582695e+03
1.163737838747133083e+03,-8.986938268153760418e+02
7.914376946027541635e+02,-5.269344934039183954e+02
8.340600572100242971e+02,-1.115543607755771745e+03
-1.052115050440973164e+03,2.099248884422686388e+02
-2.062069397637146722e+02,-1.339364951853674484e+02
8.682675263832538803e+02,-1.968527891866879145e+02
7.452968051824509530e+02,-7.237137166062736924e+02
-7.309319458066956940e+02,-4.296452804473924516e+02
1.209373230033716027e+02,-5.152706669273038642e+02
-5.755783324896435715e+02,-3.727615520649057999e+02
2.930739344500866537e+02,-1.291667788713031086e+03
