x,y
-7.659058613341325099e+02,1.099688268721156874e+03
-9.286744754955265080e+02,-1.776287539775626101e+02
-1.167705858565274411e+03,1.419775863577999644e+03
1.942675362710730269e+02,7.224879032734037310e+02
-2.743427898920805319e+02,-1.273060687990122460e+03
1.306242071920255967e+03,1.900699988342660163e+03
1.093289214424595457e+03,1.006723729431538459e+03
-9.447191330919871461e+02,1.111035859615374193e+03
4.936724175903464129e+01,-1.203619769012416327e+03
-8.144506096494723124e+01,-1.318434139481882994e+02
8.160802403245594405e+02,-5.028108484397864686e+02
-9.598025591517798603e+02,1.638543598308767287e+03
4.157698087948560328e+02,5.353928659172040625e+02
-1.549651566649698680e+03,1.260927494242855119e+03
-8.784467586904725067e+02,-1.760580166762409249e+02
-6.910656578000487116e+02,-9.850391644119683860e+02
-4.316437728250704708e+02,2.567929415476115196e+02
-6.284723210962715712e+02,-1.275191977594755144e+03
1.801303688599737598e+03,1.302828822193069982e+03
4.199165061502543494e+02,4.826954509619477562e+02
-1.346229462522622271e+03,9.999347987266577320e+02
7.046030485422022593e+02,-5.615662726808843672e+02
6.311045455781993496e+01,1.810323110522822844e+03
1.284043099412622269e+02,1.499731034757792258e+03
1.144446721667763995e+03,1.068830551842497243e+03
-8.600389678263750284e+02,-1.043603300730827868e+03
1.693100730905590012e+02,-9.434055917881494224e+00
-3.063484673888800103e+02,-1.367091173410968622e+03
3.518228282430180798e+02,-1.134224178375498241e+03
-4.269379393747129825e+01,6.937908221725882640e+02
5.993551770458321926e+02,9.360648643887628850e+02
-1.446316950812120467e+03,1.885076060641495133e+03
-6.437336200170730081e+02,-6.151673905384436694e+02
6.520378209903549305e+02,-4.920124206863664540e+02
5.907242949187701697e+02,-3.245809061423585717e+00
-9.010545850981737885e+02,-1.089907459851927797e+03
-1.285179920283752608e+02,-1.181692736543488536e+03
-8.075308221674096103e+02,1.805134373054585240e+01
-9.811386501740312269e+02,-9.970251904027854835e+02
4.366639224069106717e+02,6.103790712721303180e+02
-6.857856258773508671e+02,-2.179763189487255204e+02
-1.597173207516200137e+03,1.290672019403253898e+03
4.813510597998003959e+01,7.142591514773698691e+02
6.049403252121015839e+02,-6.695830967717427029e+02
7.005823937334440643e+02,1.325781935314586917e+03
-1.437720267396611916e+03,1.273137986485332931e+03
-1.224543350011580856e+02,-4.505411945927616557e+02
-1.076879182060316225e+03,-7.371027728757859450e+02
-6.401942925587889022e+02,7.030273882415110620e+02
-1.261620616356114510e+02,-1.163447635763118797e+03
